url,final_url,filename,content_type,size,sha256,group,manual_type,discovered_from,local_path,status
https://www.faa.gov/sites/faa.gov/files/air_traffic/environmental_issues/Enclosure_1-USMC_SuppEnvAnalys-TRAP-CERTEX-11JUL2018.pdf,https://www.faa.gov/sites/faa.gov/files/air_traffic/environmental_issues/Enclosure_1-USMC_SuppEnvAnalys-TRAP-CERTEX-11JUL2018.pdf,Enclosure_1-USMC_SuppEnvAnalys-TRAP-CERTEX-11JUL2018.pdf,application/pdf,9695894,015a6f6819564c312bd9ebcfb6525786d360fc4271c81a296732be8bc7bca4f3,FAA Handbooks,Pilot Handbook,https://www.faa.gov/air_traffic/environmental_issues/,_downloads/FAA Handbooks/Enclosure_1-USMC_SuppEnvAnalys-TRAP-CERTEX-11JUL2018.pdf,ok
https://www.faa.gov/sites/faa.gov/files/air_traffic/environmental_issues/Enclosure_2-USMC_Lttr_9MAY2019_PlayasTMOA_SuppTechAnalys-2019.pdf,https://www.faa.gov/sites/faa.gov/files/air_traffic/environmental_issues/Enclosure_2-USMC_Lttr_9MAY2019_PlayasTMOA_SuppTechAnalys-2019.pdf,Enclosure_2-USMC_Lttr_9MAY2019_PlayasTMOA_SuppTechAnalys-2019.pdf,application/pdf,2224081,dfe7b7836c41d0f8eee7809d6f1fcb16763ee6d29d52eef2ceda3f5519a5062b,FAA Handbooks,Pilot Handbook,https://www.faa.gov/air_traffic/environmental_issues/,_downloads/FAA Handbooks/Enclosure_2-USMC_Lttr_9MAY2019_PlayasTMOA_SuppTechAnalys-2019.pdf,ok
https://www.faa.gov/sites/faa.gov/files/air_traffic/environmental_issues/Enclosure_3_AF_SuppAnalys-OptnRdFlgResc-2017.pdf,https://www.faa.gov/sites/faa.gov/files/air_traffic/environmental_issues/Enclosure_3_AF_SuppAnalys-OptnRdFlgResc-2017.pdf,Enclosure_3_AF_SuppAnalys-OptnRdFlgResc-2017.pdf,application/pdf,6012412,e31ed447ad5e23cbd38389a1f6dcb35c969803e56112351833f49031c9d7ed17,FAA Handbooks,Pilot Handbook,https://www.faa.gov/air_traffic/environmental_issues/,_downloads/FAA Handbooks/Enclosure_3_AF_SuppAnalys-OptnRdFlgResc-2017.pdf,ok
https://www.faa.gov/sites/faa.gov/files/air_traffic/environmental_issues/Enclosure_4-FAA_Adptn_EA-AF_OpRdFlgResc_Playas_TMOA_May2018.pdf,https://www.faa.gov/sites/faa.gov/files/air_traffic/environmental_issues/Enclosure_4-FAA_Adptn_EA-AF_OpRdFlgResc_Playas_TMOA_May2018.pdf,Enclosure_4-FAA_Adptn_EA-AF_OpRdFlgResc_Playas_TMOA_May2018.pdf,application/pdf,933488,e30008970f1875e97054077095e9616fa6574d5fd307763841e3f7dad0294931,FAA Handbooks,Pilot Handbook,https://www.faa.gov/air_traffic/environmental_issues/,_downloads/FAA Handbooks/Enclosure_4-FAA_Adptn_EA-AF_OpRdFlgResc_Playas_TMOA_May2018.pdf,ok
https://www.faa.gov/sites/faa.gov/files/air_traffic/environmental_issues/Enclosure_5_FAA_Adptn_EA_USMC_Playas_Exercises_July 2018.pdf,https://www.faa.gov/sites/faa.gov/files/air_traffic/environmental_issues/Enclosure_5_FAA_Adptn_EA_USMC_Playas_Exercises_July%202018.pdf,Enclosure_5_FAA_Adptn_EA_USMC_Playas_Exercises_July%202018.pdf,application/pdf,343730,47a274f2b0b711137c2eaaaa89263b455b5cf17aafb591fc2d3e2775058b7b49,FAA Handbooks,Pilot Handbook,https://www.faa.gov/air_traffic/environmental_issues/,_downloads/FAA Handbooks/Enclosure_5_FAA_Adptn_EA_USMC_Playas_Exercises_July%202018.pdf,ok
https://www.faa.gov/sites/faa.gov/files/air_traffic/environmental_issues/Enclosure_6_PlayasTMOA_USMC_2019_NavyLttr_9OCT2018.pdf,https://www.faa.gov/sites/faa.gov/files/air_traffic/environmental_issues/Enclosure_6_PlayasTMOA_USMC_2019_NavyLttr_9OCT2018.pdf,Enclosure_6_PlayasTMOA_USMC_2019_NavyLttr_9OCT2018.pdf,application/pdf,859318,ec51496291d1f47d09ef05c8eb378e6be7059c87468e11d775ad575c3e69c6b7,FAA Handbooks,Pilot Handbook,https://www.faa.gov/air_traffic/environmental_issues/,_downloads/FAA Handbooks/Enclosure_6_PlayasTMOA_USMC_2019_NavyLttr_9OCT2018.pdf,ok
https://www.faa.gov/sites/faa.gov/files/air_traffic/environmental_issues/Enclosure_7_PlayasTMOA_USMC_for_2019-FAA_AEE_apprvl-RNM_noise_model_16July2018.pdf,https://www.faa.gov/sites/faa.gov/files/air_traffic/environmental_issues/Enclosure_7_PlayasTMOA_USMC_for_2019-FAA_AEE_apprvl-RNM_noise_model_16July2018.pdf,Enclosure_7_PlayasTMOA_USMC_for_2019-FAA_AEE_apprvl-RNM_noise_model_16July2018.pdf,application/pdf,658986,04138aec6abcb53ec91147d606b7d37694a2329001cd992d90c554c875e44763,FAA Handbooks,Pilot Handbook,https://www.faa.gov/air_traffic/environmental_issues/,_downloads/FAA Handbooks/Enclosure_7_PlayasTMOA_USMC_for_2019-FAA_AEE_apprvl-RNM_noise_model_16July2018.pdf,ok
https://www.faa.gov/sites/faa.gov/files/air_traffic/environmental_issues/Enclosure_8-SHPO_ResponseLttr-Playas_TMOA_USMC_2019_Exercises.pdf,https://www.faa.gov/sites/faa.gov/files/air_traffic/environmental_issues/Enclosure_8-SHPO_ResponseLttr-Playas_TMOA_USMC_2019_Exercises.pdf,Enclosure_8-SHPO_ResponseLttr-Playas_TMOA_USMC_2019_Exercises.pdf,application/pdf,35865,6aeb5f7cf1964094a1e4f848a8c588ca402806b693651dacdc6101b38a73df0d,FAA Handbooks,Pilot Handbook,https://www.faa.gov/air_traffic/environmental_issues/,_downloads/FAA Handbooks/Enclosure_8-SHPO_ResponseLttr-Playas_TMOA_USMC_2019_Exercises.pdf,ok
https://www.faa.gov/sites/faa.gov/files/air_traffic/environmental_issues/FAA_Adoptn_of_Army_EA-Estab_R-4102A_B_Ft_Devens_MA_SIGNED_2019-05-31.pdf,https://www.faa.gov/sites/faa.gov/files/air_traffic/environmental_issues/FAA_Adoptn_of_Army_EA-Estab_R-4102A_B_Ft_Devens_MA_SIGNED_2019-05-31.pdf,FAA_Adoptn_of_Army_EA-Estab_R-4102A_B_Ft_Devens_MA_SIGNED_2019-05-31.pdf,application/pdf,516061,8afe111f2e5c45603f1b5e18cb9afbe09bfa8e92a94d89843b14adfaf7feab3b,FAA Handbooks,Pilot Handbook,https://www.faa.gov/air_traffic/environmental_issues/,_downloads/FAA Handbooks/FAA_Adoptn_of_Army_EA-Estab_R-4102A_B_Ft_Devens_MA_SIGNED_2019-05-31.pdf,ok
https://www.faa.gov/sites/faa.gov/files/air_traffic/environmental_issues/FAA_AdoptnEA_for_AF-NGB_EA_Grayling_TMOA_SIGNED_2019-05-22-090600.pdf,https://www.faa.gov/sites/faa.gov/files/air_traffic/environmental_issues/FAA_AdoptnEA_for_AF-NGB_EA_Grayling_TMOA_SIGNED_2019-05-22-090600.pdf,FAA_AdoptnEA_for_AF-NGB_EA_Grayling_TMOA_SIGNED_2019-05-22-090600.pdf,application/pdf,410893,45109730fb99eb80ac5d2f5cc2ba8ac8374586e2170382e05369c8bc9076b295,FAA Handbooks,Pilot Handbook,https://www.faa.gov/air_traffic/environmental_issues/,_downloads/FAA Handbooks/FAA_AdoptnEA_for_AF-NGB_EA_Grayling_TMOA_SIGNED_2019-05-22-090600.pdf,ok
